timestamp,power_kW,daily_kWh,total_kWh,temp_C,pv1_V,pv2_V,pv1_A,pv2_A,status
2025-01-14 07:45:00,0.0,0.0,7905.11,0.0,0.0,0.0,0.0,0.0,Standby : sunlight detection
2025-01-14 07:50:00,0.0,0.0,7905.11,0.5,105.1,104.8,0.0,0.0,Standby : sunlight detection
2025-01-14 07:55:00,0.0,0.0,7905.11,0.6,103.2,103.0,0.0,0.0,Standby : sunlight detection
2025-01-14 08:00:00,0.0,0.0,7905.11,0.5,256.6,200.8,0.0,0.0,Standby : sunlight detection
2025-01-14 08:05:00,0.0,0.0,7905.11,-0.1,254.4,209.0,0.0,0.0,Standby : sunlight detection
2025-01-14 08:10:00,0.008,0.0,7905.11,-0.1,214.3,187.8,0.03,0.03,Grid connected
2025-01-14 08:15:00,0.019,0.0,7905.11,0.0,235.1,194.4,0.03,0.03,Grid connected
2025-01-14 08:20:00,0.102,0.01,7905.12,0.3,256.0,197.4,0.23,0.03,Grid connected
2025-01-14 08:25:00,0.209,0.02,7905.13,0.5,262.9,204.6,0.63,0.03,Grid connected
2025-01-14 08:30:00,0.317,0.05,7905.16,0.7,264.8,201.6,1.03,0.03,Grid connected
2025-01-14 08:35:00,0.436,0.08,7905.19,1.1,264.5,209.2,1.63,0.03,Grid connected
2025-01-14 08:40:00,0.356,0.12,7905.24,1.3,256.4,206.5,1.33,0.03,Grid connected
2025-01-14 08:45:00,0.606,0.17,7905.28,1.5,261.6,210.1,2.2,0.03,Grid connected
2025-01-14 08:50:00,0.7,0.23,7905.34,1.5,261.6,212.5,2.6,0.03,Grid connected
2025-01-14 08:55:00,0.702,0.24,7905.35,1.5,261.6,212.5,2.61,0.2,Grid connected
2025-01-14 09:00:00,0.766,0.3,7905.41,1.7,260.1,210.4,2.81,0.03,Grid connected
2025-01-14 09:05:00,0.779,0.37,7905.48,1.9,256.3,212.4,3.01,0.23,Grid connected
2025-01-14 09:10:00,0.89,0.45,7905.56,2.1,262.0,212.4,3.23,0.23,Grid connected
2025-01-14 09:15:00,0.983,0.53,7905.64,2.5,258.6,215.5,3.59,0.23,Grid connected
2025-01-14 09:20:00,1.058,0.63,7905.74,2.9,264.6,215.5,3.79,0.23,Grid connected
2025-01-14 09:25:00,1.116,0.72,7905.83,3.3,261.5,215.6,4.19,0.23,Grid connected
2025-01-14 09:30:00,1.152,0.83,7905.94,3.7,260.1,212.6,4.19,0.23,Grid connected
2025-01-14 09:35:00,1.194,0.93,7906.04,3.9,261.0,215.6,4.4,0.23,Grid connected
2025-01-14 09:40:00,1.243,1.05,7906.16,4.3,258.5,212.6,4.63,0.23,Grid connected
2025-01-14 09:45:00,1.263,1.16,7906.27,4.7,258.4,215.6,4.83,0.23,Grid connected
