date,napi_kWh,csucs_kW,aktiv_ora,atlag_kW,max_temp_C,csucside,month,evszak,minosites
2025-01-14,7.09,1.443,8.83,0.799,10.9,10:30,1,Tel,jo
2025-01-15,3.43,0.743,8.0,0.429,9.9,12:45,1,Tel,kozepes
2025-01-16,3.36,0.982,8.42,0.398,10.0,13:20,1,Tel,kozepes
2025-01-17,1.08,0.364,7.0,0.156,8.4,14:20,1,Tel,kozepes
2025-01-18,1.11,0.347,7.0,0.158,8.2,14:00,1,Tel,kozepes
2025-01-19,0.95,0.238,7.67,0.123,6.8,12:50,1,Tel,rossz
2025-01-20,0.9,0.226,7.75,0.117,7.9,12:25,1,Tel,rossz
2025-01-21,1.64,0.434,8.08,0.202,25.0,11:40,1,Tel,kozepes
2025-01-22,2.06,0.532,8.25,0.249,11.4,13:15,1,Tel,kozepes
2025-03-17,11.82,2.696,11.83,1.001,16.0,11:25,3,Tavasz,kozepes
2025-03-18,21.08,2.73,12.08,1.745,16.9,12:15,3,Tavasz,jo
2025-03-19,20.14,2.614,12.17,1.655,24.9,12:20,3,Tavasz,jo
2025-03-20,20.36,2.636,12.17,1.677,26.6,12:20,3,Tavasz,jo
2025-03-21,20.22,2.597,12.25,1.65,29.5,12:10,3,Tavasz,jo
2025-05-23,12.11,2.262,15.33,0.78,28.0,15:35,5,Tavasz,kozepes
2025-05-24,15.3,3.836,15.0,0.999,23.6,17:35,5,Tavasz,jo
2025-05-25,22.04,4.474,15.25,1.429,28.7,12:20,5,Tavasz,jo
2025-05-26,42.94,5.0,15.58,2.764,38.7,13:00,5,Tavasz,jo
2025-05-27,27.33,4.501,15.67,1.753,30.0,17:30,5,Tavasz,jo
2025-05-28,37.38,5.0,15.58,2.361,38.8,12:20,5,Tavasz,jo
2025-05-29,20.36,5.0,15.25,1.307,29.1,12:55,5,Tavasz,jo
2025-05-30,46.46,5.0,15.83,2.945,38.0,12:25,5,Tavasz,jo
2025-06-02,41.79,5.0,15.67,2.686,52.6,14:50,6,Nyar,jo
2025-06-03,40.91,5.001,15.92,2.574,49.5,13:55,6,Nyar,jo
2025-06-04,40.2,5.0,15.83,2.552,51.9,13:25,6,Nyar,jo
2025-06-05,40.32,4.736,15.67,2.564,53.9,14:45,6,Nyar,jo
2025-06-06,42.73,5.0,15.75,2.734,56.3,14:50,6,Nyar,jo
2025-06-07,42.84,5.0,15.92,2.691,57.4,14:40,6,Nyar,jo
2025-06-08,36.19,5.001,15.75,2.31,52.6,15:45,6,Nyar,jo
2025-06-09,36.46,5.0,15.92,2.356,45.6,12:20,6,Nyar,jo
2025-06-10,41.94,4.843,15.92,2.637,46.6,14:20,6,Nyar,jo
2025-06-11,34.55,5.001,15.83,2.154,45.6,12:30,6,Nyar,jo
2025-06-12,47.37,5.0,16.17,2.938,43.2,13:35,6,Nyar,jo
2025-06-13,44.01,5.001,15.92,2.852,38.6,13:50,6,Nyar,jo
