dataset,profile_id,day,season,algorithm,run,cost,runtime_s
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=50),0,33.75115314606823,0.154860258102417
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=50),1,32.43712418054498,0.15315890312194824
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=100),0,33.493526981513284,0.29988598823547363
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=100),1,32.79674728194993,0.2984325885772705
real_pv,2025-01-14_rep00,2025-01-14,winter,PSO,0,37.29392079959935,0.10693931579589844
real_pv,2025-01-14_rep00,2025-01-14,winter,PSO,1,35.38834761696702,0.10544419288635254
real_pv,2025-01-14_rep00,2025-01-14,winter,GWO,0,33.529101491794556,0.23544621467590332
real_pv,2025-01-14_rep00,2025-01-14,winter,GWO,1,32.61180339218448,0.22938060760498047
real_pv,2025-01-14_rep00,2025-01-14,winter,Hybrid,0,34.55553472891643,0.1257925033569336
real_pv,2025-01-14_rep00,2025-01-14,winter,Hybrid,1,36.05808992348809,0.12670469284057617
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=50),0,42.9454514479726,0.14863967895507812
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=50),1,41.35983071023954,0.14910650253295898
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=100),0,42.01276305697167,0.2916259765625
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=100),1,41.705055540831154,0.25972557067871094
real_pv,2025-01-22_rep00,2025-01-22,winter,PSO,0,43.85115679795348,0.08244633674621582
real_pv,2025-01-22_rep00,2025-01-22,winter,PSO,1,42.068191700105686,0.07949709892272949
real_pv,2025-01-22_rep00,2025-01-22,winter,GWO,0,42.40530705643985,0.1640625
real_pv,2025-01-22_rep00,2025-01-22,winter,GWO,1,40.87336907811915,0.15263080596923828
real_pv,2025-01-22_rep00,2025-01-22,winter,Hybrid,0,43.92561204256722,0.07737302780151367
real_pv,2025-01-22_rep00,2025-01-22,winter,Hybrid,1,45.096212263855996,0.07470059394836426
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=50),0,13.310114408601224,0.08721446990966797
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=50),1,12.649527954542707,0.08314681053161621
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=100),0,13.451549505033034,0.16124510765075684
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=100),1,13.474560939463416,0.15996313095092773
real_pv,2025-03-17_rep00,2025-03-17,cloudy,PSO,0,16.488627404187856,0.056703805923461914
real_pv,2025-03-17_rep00,2025-03-17,cloudy,PSO,1,17.412001399970947,0.05749177932739258
