dataset,profile_id,algorithm,best_cost_algo,global_best,gap_pct
real_pv,2025-01-14_rep00,GA (P=100),46.34011203153922,46.34011203153922,0.0
real_pv,2025-01-14_rep00,GA (P=50),48.83183204816187,46.34011203153922,5.377026311185887
real_pv,2025-01-14_rep00,GWO,46.53425931166641,46.34011203153922,0.418961611467109
real_pv,2025-01-14_rep00,Hybrid,48.354343006468845,46.34011203153922,4.346625173273787
real_pv,2025-01-14_rep00,PSO,51.23420995479047,46.34011203153922,10.56125613122105
real_pv,2025-01-22_rep00,GA (P=100),56.16582254023632,53.51649688741846,4.950484069130467
real_pv,2025-01-22_rep00,GA (P=50),55.12246117557186,53.51649688741846,3.000877078149976
real_pv,2025-01-22_rep00,GWO,53.51649688741846,53.51649688741846,0.0
real_pv,2025-01-22_rep00,Hybrid,53.780547045336235,53.51649688741846,0.49339955578242567
real_pv,2025-01-22_rep00,PSO,56.892330359416476,53.51649688741846,6.308024008067278
real_pv,2025-03-17_rep00,GA (P=100),26.79975776403091,25.23841466762459,6.186375479230566
real_pv,2025-03-17_rep00,GA (P=50),29.228648510178573,25.23841466762459,15.810160404070414
real_pv,2025-03-17_rep00,GWO,25.23841466762459,25.23841466762459,0.0
real_pv,2025-03-17_rep00,Hybrid,29.154442659602257,25.23841466762459,15.516140943852234
real_pv,2025-03-17_rep00,PSO,32.219965563813005,25.23841466762459,27.662398719788083
real_pv,2025-03-19_rep00,GA (P=100),19.264712061989428,19.250491781965724,0.07386969737722154
real_pv,2025-03-19_rep00,GA (P=50),19.92097945216382,19.250491781965724,3.482963852338533
real_pv,2025-03-19_rep00,GWO,19.250491781965724,19.250491781965724,0.0
real_pv,2025-03-19_rep00,Hybrid,22.680921374262716,19.250491781965724,17.819958217028475
real_pv,2025-03-19_rep00,PSO,23.516648825240217,19.250491781965724,22.161288612114877
real_pv,2025-05-23_rep00,GA (P=100),27.060039731822894,26.462843751715017,2.2567339537974114
real_pv,2025-05-23_rep00,GA (P=50),29.85576145066053,26.462843751715017,12.82144024523974
real_pv,2025-05-23_rep00,GWO,26.462843751715017,26.462843751715017,0.0
real_pv,2025-05-23_rep00,Hybrid,27.54375173905964,26.462843751715017,4.08462521052268
real_pv,2025-05-23_rep00,PSO,30.869835847269517,26.462843751715017,16.653509111628846
real_pv,2025-05-30_rep00,GA (P=100),-1.6912881280714795,-1.6912881280714795,0.0
real_pv,2025-05-30_rep00,GA (P=50),-0.9662351036045203,-1.6912881280714795,42.869870130585895
real_pv,2025-05-30_rep00,GWO,0.8085563412937116,-1.6912881280714795,147.8071315227412
real_pv,2025-05-30_rep00,Hybrid,1.017087831859081,-1.6912881280714795,160.13687516493502
real_pv,2025-05-30_rep00,PSO,4.143338103193858,-1.6912881280714795,344.9812087588268
real_pv,2025-06-12_rep00,GA (P=100),-5.2284160941302735,-5.379226707464157,2.803574221859514
real_pv,2025-06-12_rep00,GA (P=50),-5.379226707464157,-5.379226707464157,0.0
real_pv,2025-06-12_rep00,GWO,-4.765132723164383,-5.379226707464157,11.416027202079125
real_pv,2025-06-12_rep00,Hybrid,-3.8997489038973745,-5.379226707464157,27.50354063417404
real_pv,2025-06-12_rep00,PSO,-0.9943579926281161,-5.379226707464157,81.51485245893234
real_pv,2025-06-28_rep00,GA (P=100),-3.1193804452851723,-3.1193804452851723,0.0
real_pv,2025-06-28_rep00,GA (P=50),-2.1688975991927633,-3.1193804452851723,30.470244411012004
real_pv,2025-06-28_rep00,GWO,-2.2181283405674654,-3.1193804452851723,28.892022638373454
real_pv,2025-06-28_rep00,Hybrid,-1.316775957586597,-3.1193804452851723,57.78725996199894
real_pv,2025-06-28_rep00,PSO,-0.19999992453573245,-3.1193804452851723,93.5884728079927
real_pv,2025-08-01_rep00,GA (P=100),-2.663709499942055,-2.663709499942055,0.0
real_pv,2025-08-01_rep00,GA (P=50),-1.9038990599411716,-2.663709499942055,28.524523403628166
real_pv,2025-08-01_rep00,GWO,-1.5568513330498752,-2.663709499942055,41.55326121338401
real_pv,2025-08-01_rep00,Hybrid,1.4601068907034511,-2.663709499942055,154.81479452571932
real_pv,2025-08-01_rep00,PSO,1.7096300610106456,-2.663709499942055,164.18230138857157
real_pv,2025-08-22_rep00,GA (P=100),32.655132687780785,27.620857789424214,18.22635247809678
