dataset,profile_id,day,season,algorithm,run,cost,runtime_s
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=50),0,33.75115314606823,0.0802919864654541
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=50),1,32.43712418054498,0.07951235771179199
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=100),0,33.493526981513284,0.15549135208129883
real_pv,2025-01-14_rep00,2025-01-14,winter,GA (P=100),1,32.79674728194993,0.15685772895812988
real_pv,2025-01-14_rep00,2025-01-14,winter,PSO,0,37.29392079959935,0.056458234786987305
real_pv,2025-01-14_rep00,2025-01-14,winter,PSO,1,35.38834761696702,0.05511879920959473
real_pv,2025-01-14_rep00,2025-01-14,winter,GWO,0,33.529101491794556,0.12020444869995117
real_pv,2025-01-14_rep00,2025-01-14,winter,GWO,1,32.61180339218448,0.1184072494506836
real_pv,2025-01-14_rep00,2025-01-14,winter,Hybrid,0,34.55553472891643,0.06574821472167969
real_pv,2025-01-14_rep00,2025-01-14,winter,Hybrid,1,36.05808992348809,0.06625103950500488
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=50),0,42.9454514479726,0.07840323448181152
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=50),1,41.35983071023954,0.07828783988952637
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=100),0,42.01276305697167,0.1536574363708496
real_pv,2025-01-22_rep00,2025-01-22,winter,GA (P=100),1,41.705055540831154,0.15351247787475586
real_pv,2025-01-22_rep00,2025-01-22,winter,PSO,0,43.85115679795348,0.0547177791595459
real_pv,2025-01-22_rep00,2025-01-22,winter,PSO,1,42.068191700105686,0.05473017692565918
real_pv,2025-01-22_rep00,2025-01-22,winter,GWO,0,42.40530705643985,0.11688041687011719
real_pv,2025-01-22_rep00,2025-01-22,winter,GWO,1,40.87336907811915,0.11706733703613281
real_pv,2025-01-22_rep00,2025-01-22,winter,Hybrid,0,43.92561204256722,0.06451797485351562
real_pv,2025-01-22_rep00,2025-01-22,winter,Hybrid,1,45.096212263855996,0.06471133232116699
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=50),0,13.310114408601224,0.0782172679901123
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=50),1,12.649527954542707,0.07796692848205566
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=100),0,13.451549505033034,0.15468811988830566
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GA (P=100),1,13.474560939463416,0.15320539474487305
real_pv,2025-03-17_rep00,2025-03-17,cloudy,PSO,0,16.488627404187856,0.05421710014343262
real_pv,2025-03-17_rep00,2025-03-17,cloudy,PSO,1,17.412001399970947,0.05492281913757324
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GWO,0,14.579266633766155,0.11784720420837402
real_pv,2025-03-17_rep00,2025-03-17,cloudy,GWO,1,13.04861358250747,0.11789608001708984
real_pv,2025-03-17_rep00,2025-03-17,cloudy,Hybrid,0,14.76876438400987,0.06517553329467773
