season,data_source,day,day_idx,algorithm,run,cost,runtime_s
winter,synthetic,day_000,0,GA (P=50),0,39.561241158228135,0.47298455238342285
winter,synthetic,day_000,0,GA (P=50),1,39.351895381742445,0.4606962203979492
winter,synthetic,day_000,0,GA (P=50),2,39.3753590986852,0.46628260612487793
winter,synthetic,day_000,0,GA (P=50),3,39.085372320604485,0.4536561965942383
winter,synthetic,day_000,0,GA (P=50),4,39.05893039787825,0.44414639472961426
winter,synthetic,day_000,0,GA (P=50),5,39.37873189869248,0.44242048263549805
winter,synthetic,day_000,0,GA (P=50),6,37.851133719618694,0.4496164321899414
winter,synthetic,day_000,0,GA (P=50),7,37.19703733558051,0.4406473636627197
winter,synthetic,day_000,0,GA (P=50),8,38.85719121127538,0.4403069019317627
winter,synthetic,day_000,0,GA (P=50),9,36.71386817330183,0.4457399845123291
winter,synthetic,day_000,0,GA (P=50),10,39.091044140371125,0.4418635368347168
winter,synthetic,day_000,0,GA (P=50),11,37.04080740943047,0.44466567039489746
winter,synthetic,day_000,0,GA (P=50),12,39.113912709216294,0.4383535385131836
winter,synthetic,day_000,0,GA (P=50),13,36.51117186706415,0.43825292587280273
winter,synthetic,day_000,0,GA (P=50),14,38.925016728548385,0.4367794990539551
winter,synthetic,day_000,0,GA (P=50),15,38.992300700347634,0.4417426586151123
winter,synthetic,day_000,0,GA (P=50),16,39.30822966925582,0.4386603832244873
winter,synthetic,day_000,0,GA (P=50),17,39.606003101615784,0.43979620933532715
winter,synthetic,day_000,0,GA (P=50),18,39.03651878190651,0.44185638427734375
winter,synthetic,day_000,0,GA (P=50),19,38.88045834027983,0.44373130798339844
winter,synthetic,day_000,0,GA (P=100),0,39.200357933632475,0.884192943572998
winter,synthetic,day_000,0,GA (P=100),1,38.874856675445976,0.8819730281829834
winter,synthetic,day_000,0,GA (P=100),2,37.24389034505082,0.8761842250823975
winter,synthetic,day_000,0,GA (P=100),3,37.093348607728686,0.8874099254608154
winter,synthetic,day_000,0,GA (P=100),4,39.01078313730229,0.8871595859527588
winter,synthetic,day_000,0,GA (P=100),5,39.00428416875346,0.8844614028930664
winter,synthetic,day_000,0,GA (P=100),6,39.1482232495866,0.8823034763336182
winter,synthetic,day_000,0,GA (P=100),7,38.9899864787842,0.8913760185241699
winter,synthetic,day_000,0,GA (P=100),8,39.09480075070322,0.8866145610809326
winter,synthetic,day_000,0,GA (P=100),9,38.907216489834525,0.8839311599731445
winter,synthetic,day_000,0,GA (P=100),10,38.86625148430817,0.9088325500488281
